mobile_number,churn_probability,CHURN_FLAG,CHURN_FLAG_label,risk_tier
7001350032,0.9842,1,YES,Critical
7001423393,0.9835,1,YES,Critical
7000726820,0.9835,1,YES,Critical
7002120496,0.9835,1,YES,Critical
7000574505,0.9834,1,YES,Critical
7001554242,0.9833,1,YES,Critical
7001160702,0.9831,1,YES,Critical
7000940006,0.9831,1,YES,Critical
7000549594,0.9831,1,YES,Critical
7001033581,0.9829,1,YES,Critical
7000990056,0.9828,1,YES,Critical
7001012090,0.9828,1,YES,Critical
7000027129,0.9827,1,YES,Critical
7001315721,0.9827,1,YES,Critical
7001755216,0.9827,1,YES,Critical
7000796994,0.9826,1,YES,Critical
7000990569,0.9826,1,YES,Critical
7002358218,0.9825,1,YES,Critical
7002209005,0.9825,1,YES,Critical
7000948485,0.9825,1,YES,Critical
7000634841,0.9825,1,YES,Critical
7001005356,0.9824,1,YES,Critical
7000962950,0.9824,1,YES,Critical
7001219084,0.9824,1,YES,Critical
7002353254,0.9824,1,YES,Critical
7002142814,0.9824,1,YES,Critical
7002279777,0.9824,1,YES,Critical
7000843499,0.9824,1,YES,Critical
7000918015,0.9823,1,YES,Critical
7001590391,0.9823,1,YES,Critical
7002313504,0.9823,1,YES,Critical
7001378735,0.9823,1,YES,Critical
7002327850,0.9823,1,YES,Critical
7001405124,0.9823,1,YES,Critical
7001155089,0.9822,1,YES,Critical
7000891925,0.9822,1,YES,Critical
7001223304,0.9822,1,YES,Critical
7001326308,0.9822,1,YES,Critical
7000009518,0.9822,1,YES,Critical
7001683776,0.9822,1,YES,Critical
7001796841,0.9822,1,YES,Critical
7001145163,0.9822,1,YES,Critical
7002127039,0.9822,1,YES,Critical
7001216374,0.9821,1,YES,Critical
7001320191,0.9821,1,YES,Critical
7000994746,0.9821,1,YES,Critical
7000763890,0.9821,1,YES,Critical
7001005804,0.9821,1,YES,Critical
7001459882,0.9821,1,YES,Critical
7001578186,0.982,1,YES,Critical
7000018378,0.982,1,YES,Critical
7000906323,0.982,1,YES,Critical
7000399838,0.982,1,YES,Critical
7001835040,0.982,1,YES,Critical
7001128992,0.982,1,YES,Critical
7002257276,0.982,1,YES,Critical
